date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:13	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
22:15:13	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
22:15:13	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
22:15:14	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
22:15:14	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:15:14	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
22:15:14	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
22:15:15	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
22:15:15	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
22:15:15	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
